Age,Attrition,Department,Education,EmployeeId,JobRole,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany
25,Yes,Research & Development,Medical,538,Laboratory Technician,1,4031,No,2
52,No,Research & Development,Medical,543,Manufacturing Director,3,7969,Yes,5
45,No,Research & Development,Life Sciences,544,Research Scientist,4,2654,No,2
52,No,Research & Development,Life Sciences,546,Manager,4,16555,No,5
42,No,Research & Development,Life Sciences,547,Research Scientist,3,4556,No,5
30,No,Research & Development,Life Sciences,548,Manufacturing Director,4,6091,No,5
60,No,Research & Development,Life Sciences,549,Manager,1,19566,No,29
46,No,Research & Development,Medical,550,Manufacturing Director,3,4810,No,10
42,No,Research & Development,Technical Degree,551,Healthcare Representative,4,4523,No,6
24,Yes,Sales,Technical Degree,554,Sales Representative,2,3202,Yes,5
34,Yes,Sales,Marketing,555,Sales Representative,3,2351,No,2
38,No,Research & Development,Life Sciences,556,Laboratory Technician,4,1702,Yes,1
40,No,Sales,Life Sciences,558,Manager,3,18041,No,20
26,No,Research & Development,Life Sciences,560,Research Scientist,4,2886,No,3
30,No,Research & Development,Life Sciences,562,Laboratory Technician,4,2097,No,5
29,No,Research & Development,Medical,564,Research Director,3,11935,No,10
29,Yes,Research & Development,Technical Degree,565,Research Scientist,2,2546,No,2
19,Yes,Human Resources,Technical Degree,566,Human Resources,4,2564,No,1
30,No,Sales,Other,567,Sales Executive,1,8412,No,9
57,No,Sales,Marketing,568,Manager,4,14118,No,1
50,No,Research & Development,Life Sciences,569,Manager,3,17046,No,27
30,No,Research & Development,Medical,571,Laboratory Technician,4,2564,No,11
60,No,Sales,Marketing,573,Sales Executive,1,10266,No,18
47,No,Research & Development,Medical,574,Manufacturing Director,4,5070,No,5
46,No,Research & Development,Life Sciences,575,Research Director,3,17861,No,3
35,No,Research & Development,Life Sciences,577,Laboratory Technician,3,4230,No,5
54,No,Research & Development,Life Sciences,578,Laboratory Technician,3,3780,No,1
34,No,Research & Development,Life Sciences,579,Research Scientist,3,2768,No,7
46,No,Sales,Marketing,580,Sales Executive,4,9071,Yes,3
31,No,Research & Development,Life Sciences,581,Manufacturing Director,2,10648,No,13
33,Yes,Research & Development,Medical,582,Manager,3,13610,Yes,7
33,Yes,Research & Development,Medical,584,Laboratory Technician,4,3408,No,4
30,No,Sales,Marketing,585,Sales Representative,2,2983,No,3
35,No,Research & Development,Life Sciences,586,Healthcare Representative,3,7632,Yes,8
31,Yes,Research & Development,Life Sciences,587,Healthcare Representative,3,9824,No,1
34,Yes,Human Resources,Human Resources,590,Human Resources,1,9950,Yes,3
42,No,Research & Development,Other,591,Laboratory Technician,3,2093,No,2
36,No,Sales,Medical,592,Sales Executive,4,9980,No,10
22,Yes,Research & Development,Technical Degree,593,Laboratory Technician,3,3894,No,2
48,No,Sales,Marketing,595,Sales Executive,4,4051,No,9
55,No,Sales,Life Sciences,597,Manager,2,16835,No,10
41,No,Sales,Life Sciences,599,Sales Executive,4,6230,No,14
35,No,Sales,Marketing,600,Sales Executive,3,4717,No,11
40,No,Research & Development,Life Sciences,601,Manufacturing Director,3,13237,No,20
39,No,Research & Development,Life Sciences,602,Laboratory Technician,3,3755,No,8
31,No,Sales,Life Sciences,604,Sales Executive,4,6582,Yes,6
42,No,Research & Development,Medical,605,Manufacturing Director,1,7406,Yes,10
45,No,Sales,Other,606,Sales Executive,2,4805,No,8
26,Yes,Human Resources,Life Sciences,608,Human Resources,3,2741,Yes,7
29,No,Research & Development,Technical Degree,611,Manufacturing Director,4,4262,No,3
33,No,Research & Development,Medical,612,Research Director,3,16184,No,6
31,No,Sales,Life Sciences,613,Manager,4,11557,No,5
18,Yes,Sales,Marketing,614,Sales Representative,2,1878,Yes,0
40,No,Sales,Other,615,Sales Executive,1,10932,No,1
41,No,Research & Development,Other,616,Healthcare Representative,3,6811,Yes,8
26,No,Sales,Medical,618,Sales Executive,3,4306,No,0
35,No,Sales,Medical,620,Sales Executive,3,4859,No,5
34,No,Sales,Life Sciences,621,Sales Executive,4,5337,No,10
26,Yes,Research & Development,Technical Degree,622,Laboratory Technician,4,2340,Yes,1
37,No,Research & Development,Technical Degree,623,Manufacturing Director,4,7491,No,6
46,No,Research & Development,Medical,624,Healthcare Representative,3,10527,No,2
41,No,Sales,Life Sciences,625,Manager,1,16595,No,18
37,No,Sales,Medical,626,Sales Executive,2,8834,No,9
52,No,Research & Development,Technical Degree,630,Research Scientist,1,5577,Yes,10
32,Yes,Sales,Other,631,Sales Executive,3,4707,No,4
24,No,Sales,Medical,632,Sales Representative,4,2400,No,2
38,No,Research & Development,Medical,634,Healthcare Representative,3,9824,No,1
37,No,Research & Development,Life Sciences,635,Manufacturing Director,2,6447,No,6
49,No,Research & Development,Life Sciences,638,Research Director,3,19502,Yes,31
24,No,Research & Development,Medical,639,Research Scientist,4,2725,Yes,6
26,No,Sales,Marketing,641,Sales Executive,2,6272,No,5
24,No,Research & Development,Other,643,Laboratory Technician,2,2127,No,1
50,No,Human Resources,Medical,644,Manager,2,18200,No,32
25,No,Sales,Medical,645,Sales Representative,3,2096,No,7
24,Yes,Research & Development,Life Sciences,647,Laboratory Technician,3,2886,Yes,6
30,Yes,Sales,Life Sciences,648,Sales Representative,1,2033,No,1
34,No,Research & Development,Life Sciences,649,Research Scientist,4,3622,Yes,6
31,Yes,Sales,Medical,650,Sales Executive,1,4233,No,3
35,No,Research & Development,Other,652,Laboratory Technician,4,3681,No,3
31,No,Sales,Medical,653,Sales Executive,4,5460,No,7
27,No,Research & Development,Medical,655,Research Scientist,3,2187,No,5
37,No,Sales,Marketing,656,Sales Executive,3,9602,Yes,3
20,No,Research & Development,Life Sciences,657,Research Scientist,2,2836,No,1
42,No,Research & Development,Life Sciences,659,Healthcare Representative,4,4089,No,10
43,No,Research & Development,Other,661,Research Director,4,16627,Yes,1
38,No,Research & Development,Life Sciences,662,Research Scientist,1,2619,No,0
43,No,Research & Development,Medical,663,Laboratory Technician,3,5679,Yes,8
48,No,Research & Development,Life Sciences,664,Manager,1,15402,No,3
44,No,Human Resources,Life Sciences,665,Human Resources,3,5985,No,2
34,No,Sales,Technical Degree,666,Sales Representative,3,2579,Yes,8
27,Yes,Sales,Marketing,667,Sales Representative,1,3041,No,4
21,No,Sales,Technical Degree,669,Sales Representative,3,3447,No,3
44,No,Research & Development,Other,671,Manager,4,19513,Yes,2
22,No,Research & Development,Medical,675,Research Scientist,3,2773,No,2
33,No,Sales,Marketing,677,Sales Executive,3,7104,No,5
32,No,Research & Development,Life Sciences,679,Research Scientist,4,6322,Yes,6
30,No,Research & Development,Medical,680,Research Scientist,3,2083,No,1
53,No,Sales,Medical,682,Sales Executive,1,8381,No,14
34,No,Research & Development,Life Sciences,683,Research Scientist,4,2691,No,10
45,Yes,Sales,Life Sciences,684,Sales Executive,1,4286,No,1
26,No,Research & Development,Life Sciences,686,Laboratory Technician,4,2659,Yes,3
37,No,Research & Development,Other,689,Manufacturing Director,3,9434,No,10
29,No,Sales,Medical,690,Sales Executive,3,5561,No,6
35,No,Research & Development,Life Sciences,691,Research Scientist,4,6646,No,17
33,No,Research & Development,Life Sciences,692,Healthcare Representative,4,7725,No,13
54,No,Human Resources,Medical,698,Human Resources,2,10725,No,9
36,No,Research & Development,Medical,699,Manufacturing Director,2,8847,Yes,3
27,No,Research & Development,Medical,700,Research Scientist,4,2045,No,4
20,Yes,Research & Development,Medical,701,Research Scientist,3,1009,Yes,1
33,Yes,Research & Development,Life Sciences,702,Research Scientist,1,3348,Yes,10
35,No,Research & Development,Life Sciences,704,Laboratory Technician,3,1281,No,1
23,No,Research & Development,Medical,705,Research Scientist,1,2819,No,3
25,No,Sales,Life Sciences,707,Sales Executive,2,4851,No,3
38,No,Sales,Marketing,709,Sales Executive,4,4028,No,7
29,No,Research & Development,Life Sciences,710,Research Scientist,4,2720,No,10
48,No,Sales,Marketing,712,Sales Executive,2,8120,No,2
27,No,Sales,Medical,714,Sales Executive,4,4647,Yes,6
37,No,Research & Development,Life Sciences,715,Research Scientist,4,4680,No,1
50,No,Research & Development,Medical,716,Laboratory Technician,3,3221,Yes,20
34,No,Research & Development,Medical,717,Healthcare Representative,2,8621,No,8
24,Yes,Sales,Life Sciences,720,Sales Executive,3,4577,No,2
39,No,Research & Development,Technical Degree,721,Healthcare Representative,3,4553,No,20
32,No,Sales,Marketing,722,Sales Executive,4,5396,No,10
50,Yes,Sales,Technical Degree,723,Sales Executive,3,6796,Yes,4
38,No,Research & Development,Life Sciences,724,Healthcare Representative,4,7625,No,9
27,No,Research & Development,Life Sciences,725,Manufacturing Director,1,7412,No,9
32,No,Research & Development,Life Sciences,727,Research Director,4,11159,No,7
47,No,Sales,Marketing,728,Sales Executive,1,4960,No,7
40,No,Sales,Life Sciences,729,Sales Executive,1,10475,Yes,18
53,No,Research & Development,Life Sciences,730,Research Director,3,14814,No,5
41,No,Human Resources,Human Resources,731,Manager,4,19141,No,21
60,No,Sales,Marketing,732,Sales Executive,1,5405,No,2
27,No,Research & Development,Life Sciences,733,Manufacturing Director,1,8793,No,9
41,No,Human Resources,Human Resources,734,Manager,3,19189,No,22
50,No,Sales,Marketing,738,Sales Representative,2,3875,No,2
28,Yes,Research & Development,Life Sciences,741,Research Scientist,2,2216,Yes,7
36,No,Research & Development,Life Sciences,742,Research Director,1,11713,No,8
38,No,Research & Development,Life Sciences,743,Manufacturing Director,3,7861,Yes,1
44,No,Research & Development,Medical,744,Laboratory Technician,3,3708,No,5
47,No,Sales,Medical,746,Sales Executive,3,13770,Yes,22
30,No,Sales,Marketing,747,Sales Executive,4,5304,No,8
29,No,Sales,Life Sciences,749,Sales Representative,3,2642,No,1
42,Yes,Research & Development,Medical,752,Research Scientist,3,2759,Yes,2
43,No,Sales,Life Sciences,754,Sales Executive,4,6804,No,2
34,No,Research & Development,Medical,757,Healthcare Representative,3,6142,No,5
23,No,Research & Development,Medical,758,Laboratory Technician,1,2500,No,4
39,No,Human Resources,Human Resources,760,Human Resources,2,6389,No,8
56,No,Research & Development,Medical,762,Healthcare Representative,4,11103,No,10
40,No,Research & Development,Medical,763,Research Scientist,4,2342,Yes,4
27,No,Research & Development,Medical,764,Healthcare Representative,1,6811,No,7
29,No,Sales,Marketing,766,Sales Representative,2,2297,No,2
53,No,Research & Development,Life Sciences,769,Laboratory Technician,4,2450,No,2
35,No,Research & Development,Life Sciences,771,Healthcare Representative,1,5093,No,1
32,No,Research & Development,Life Sciences,772,Laboratory Technician,4,5309,No,10
38,No,Research & Development,Medical,773,Research Scientist,3,3057,Yes,1
34,No,Research & Development,Life Sciences,775,Manufacturing Director,1,5121,No,0
52,No,Sales,Marketing,776,Manager,1,16856,No,34
33,Yes,Research & Development,Other,780,Research Scientist,4,2686,Yes,10
25,No,Sales,Medical,781,Sales Executive,4,6180,No,6
45,No,Sales,Technical Degree,783,Sales Representative,3,6632,No,8
23,No,Research & Development,Medical,784,Research Scientist,3,3505,No,2
47,Yes,Sales,Life Sciences,785,Sales Executive,3,6397,Yes,5
34,No,Sales,Other,786,Sales Executive,4,6274,No,6
55,Yes,Research & Development,Medical,787,Manager,1,19859,Yes,5
36,No,Sales,Life Sciences,789,Sales Executive,1,7587,No,10
52,No,Research & Development,Medical,791,Research Scientist,4,4258,No,4
26,No,Research & Development,Life Sciences,792,Laboratory Technician,4,4364,No,2
29,No,Research & Development,Medical,793,Healthcare Representative,3,4335,No,8
26,Yes,Sales,Technical Degree,796,Sales Executive,1,5326,No,4
34,No,Research & Development,Life Sciences,797,Research Scientist,4,3280,No,4
54,No,Research & Development,Medical,799,Manufacturing Director,1,5485,Yes,5
27,No,Sales,Marketing,800,Sales Executive,4,4342,No,4
37,No,Research & Development,Life Sciences,802,Research Scientist,1,2782,Yes,5
38,No,Research & Development,Life Sciences,803,Manufacturing Director,1,5980,Yes,15
34,No,Research & Development,Medical,804,Research Scientist,1,4381,No,6
35,No,Sales,Life Sciences,805,Sales Representative,4,2572,No,3
30,No,Research & Development,Life Sciences,806,Laboratory Technician,3,3833,No,2
40,No,Research & Development,Medical,807,Healthcare Representative,2,4244,No,8
34,No,Sales,Life Sciences,808,Sales Executive,1,6500,No,3
42,No,Research & Development,Life Sciences,809,Manager,4,18430,No,24
23,Yes,Research & Development,Life Sciences,811,Laboratory Technician,1,1601,Yes,0
24,No,Research & Development,Life Sciences,812,Laboratory Technician,2,2694,No,1
52,No,Research & Development,Life Sciences,813,Laboratory Technician,3,3149,No,5
50,No,Research & Development,Medical,815,Research Director,3,17639,No,4
29,Yes,Research & Development,Life Sciences,816,Laboratory Technician,1,2319,Yes,1
33,No,Research & Development,Medical,817,Research Director,3,11691,No,13
33,Yes,Sales,Marketing,819,Sales Executive,1,5324,No,3
47,No,Research & Development,Other,820,Manager,4,16752,Yes,26
36,No,Research & Development,Other,823,Manufacturing Director,2,5228,No,9
29,No,Research & Development,Life Sciences,824,Research Scientist,3,2700,No,10
58,Yes,Research & Development,Life Sciences,825,Research Director,2,19246,Yes,31
35,No,Research & Development,Life Sciences,826,Research Scientist,3,2506,No,2
42,No,Research & Development,Life Sciences,827,Manufacturing Director,4,6062,Yes,4
28,Yes,Research & Development,Medical,828,Research Scientist,3,4382,No,2
36,No,Human Resources,Human Resources,829,Human Resources,2,2143,No,5
32,No,Research & Development,Life Sciences,830,Manufacturing Director,3,6162,No,14
40,No,Research & Development,Medical,832,Laboratory Technician,3,5094,No,1
30,No,Research & Development,Medical,833,Manufacturing Director,4,6877,Yes,0
45,No,Research & Development,Life Sciences,834,Research Scientist,3,2274,No,1
42,No,Research & Development,Life Sciences,836,Manufacturing Director,2,4434,No,9
38,No,Research & Development,Life Sciences,837,Healthcare Representative,1,6288,No,4
34,No,Research & Development,Life Sciences,838,Research Scientist,4,2553,No,5
49,Yes,Sales,Marketing,840,Sales Executive,4,7654,No,9
55,Yes,Sales,Medical,842,Sales Executive,4,5160,No,9
43,No,Research & Development,Life Sciences,843,Research Director,1,17159,No,4
27,No,Research & Development,Technical Degree,844,Research Director,4,12808,Yes,9
35,No,Research & Development,Other,845,Manufacturing Director,3,10221,No,8
28,No,Sales,Marketing,846,Sales Executive,2,4779,Yes,8
34,No,Human Resources,Human Resources,847,Human Resources,4,3737,No,3
26,Yes,Research & Development,Medical,848,Research Scientist,3,2366,Yes,8
27,No,Research & Development,Medical,850,Research Scientist,4,1706,No,0
51,No,Sales,Marketing,851,Manager,3,16307,No,20
44,No,Research & Development,Medical,852,Healthcare Representative,2,5933,No,5
25,No,Research & Development,Medical,854,Research Scientist,1,3424,No,4
33,No,Sales,Medical,855,Sales Executive,1,4037,No,9
35,No,Research & Development,Medical,856,Research Scientist,1,2559,No,6
36,No,Sales,Life Sciences,857,Sales Executive,4,6201,Yes,18
32,No,Sales,Life Sciences,859,Sales Executive,4,4403,No,5
30,No,Research & Development,Life Sciences,861,Research Scientist,4,3761,No,5
53,No,Sales,Marketing,862,Sales Executive,4,10934,Yes,5
45,No,Sales,Marketing,864,Sales Executive,1,10761,Yes,5
32,No,Research & Development,Medical,865,Research Scientist,3,5175,No,5
52,No,Research & Development,Medical,867,Manufacturing Director,4,13826,No,9
37,No,Sales,Marketing,868,Sales Executive,3,6334,No,1
28,No,Human Resources,Medical,869,Human Resources,4,4936,No,5
22,No,Research & Development,Life Sciences,872,Manufacturing Director,4,4775,No,2
44,No,Research & Development,Life Sciences,874,Laboratory Technician,4,2818,Yes,3
42,No,Research & Development,Medical,875,Research Scientist,4,2515,Yes,2
36,No,Human Resources,Life Sciences,878,Human Resources,1,2342,No,5
25,No,Sales,Other,879,Sales Executive,1,4194,Yes,5
35,No,Research & Development,Life Sciences,880,Manufacturing Director,3,10685,Yes,17
35,Yes,Research & Development,Life Sciences,881,Research Scientist,2,2022,Yes,10
32,No,Research & Development,Life Sciences,882,Laboratory Technician,4,2314,No,3
25,No,Sales,Marketing,885,Sales Executive,1,4256,No,5
49,No,Research & Development,Technical Degree,887,Research Scientist,1,3580,No,4
24,No,Research & Development,Life Sciences,888,Laboratory Technician,4,3162,No,5
32,No,Sales,Life Sciences,889,Sales Executive,2,6524,No,10
38,No,Sales,Marketing,893,Sales Representative,2,2899,No,2
42,No,Research & Development,Life Sciences,894,Laboratory Technician,4,5231,Yes,5
31,No,Research & Development,Life Sciences,895,Research Scientist,4,2356,Yes,6
29,Yes,Sales,Medical,896,Sales Representative,3,2800,Yes,3
53,No,Sales,Marketing,897,Sales Executive,4,11836,No,2
35,No,Research & Development,Technical Degree,899,Manufacturing Director,2,10903,No,13
37,No,Sales,Medical,900,Sales Representative,4,2973,No,5
53,No,Research & Development,Life Sciences,901,Research Director,4,14275,No,12
43,No,Research & Development,Life Sciences,902,Healthcare Representative,4,5562,No,5
47,No,Sales,Marketing,903,Sales Executive,4,4537,Yes,7
37,No,Sales,Medical,904,Sales Executive,2,7642,Yes,10
50,No,Research & Development,Life Sciences,905,Manager,1,17924,No,31
39,No,Human Resources,Life Sciences,909,Human Resources,4,5204,No,5
33,No,Human Resources,Human Resources,910,Human Resources,2,2277,Yes,4
32,Yes,Research & Development,Life Sciences,911,Laboratory Technician,4,2795,Yes,1
29,No,Research & Development,Medical,912,Laboratory Technician,4,2532,No,4
44,No,Research & Development,Life Sciences,913,Research Scientist,1,2559,Yes,8
28,No,Sales,Medical,916,Sales Executive,4,4908,No,4
58,Yes,Research & Development,Life Sciences,918,Laboratory Technician,4,2380,Yes,1
43,No,Research & Development,Life Sciences,920,Manufacturing Director,2,4765,No,1
20,Yes,Sales,Medical,922,Sales Representative,3,2044,No,2
21,Yes,Research & Development,Other,923,Research Scientist,4,2693,No,1
36,No,Research & Development,Life Sciences,924,Healthcare Representative,4,6586,Yes,16
47,No,Sales,Life Sciences,925,Sales Representative,4,3294,Yes,3
22,Yes,Research & Development,Life Sciences,926,Manufacturing Director,3,4171,Yes,3
41,Yes,Research & Development,Life Sciences,927,Laboratory Technician,4,2778,Yes,7
28,No,Research & Development,Medical,930,Research Scientist,3,2377,No,2
39,Yes,Research & Development,Medical,932,Laboratory Technician,1,2404,Yes,2
27,No,Research & Development,Life Sciences,933,Research Scientist,3,2318,No,1
34,No,Research & Development,Life Sciences,934,Laboratory Technician,2,2008,No,1
42,No,Sales,Medical,936,Sales Executive,3,6244,No,5
33,No,Research & Development,Other,939,Research Scientist,1,2799,Yes,3
58,No,Research & Development,Technical Degree,940,Healthcare Representative,2,10552,Yes,6
31,No,Sales,Life Sciences,941,Sales Representative,3,2329,No,7
35,No,Research & Development,Life Sciences,942,Healthcare Representative,4,4014,Yes,10
49,No,Research & Development,Other,944,Laboratory Technician,2,7403,No,26
48,No,Research & Development,Medical,945,Research Scientist,3,2259,No,0
31,No,Sales,Marketing,947,Sales Executive,3,6932,No,9
36,No,Research & Development,Other,949,Research Scientist,4,4678,No,6
38,No,Research & Development,Technical Degree,950,Research Director,1,13582,No,15
32,No,Research & Development,Life Sciences,951,Laboratory Technician,2,2332,No,3
25,Yes,Sales,Marketing,952,Sales Representative,2,2413,Yes,1
40,No,Sales,Marketing,954,Sales Executive,2,9705,No,1
26,No,Sales,Medical,956,Sales Executive,1,4294,No,7
41,No,Research & Development,Medical,957,Laboratory Technician,1,4721,Yes,18
36,No,Research & Development,Medical,958,Laboratory Technician,3,2519,No,11
19,Yes,Sales,Other,959,Sales Representative,2,2121,Yes,1
20,Yes,Research & Development,Technical Degree,960,Laboratory Technician,1,2973,No,1
31,No,Research & Development,Medical,961,Healthcare Representative,4,5855,Yes,9
40,No,Research & Development,Medical,964,Research Scientist,2,3617,Yes,1
32,No,Research & Development,Medical,966,Manufacturing Director,1,6725,No,8
36,Yes,Sales,Life Sciences,967,Sales Executive,4,10325,Yes,16
33,No,Research & Development,Life Sciences,969,Healthcare Representative,4,6949,No,5
37,Yes,Sales,Life Sciences,970,Sales Executive,3,10609,No,14
45,No,Research & Development,Life Sciences,972,Laboratory Technician,2,4447,No,9
29,No,Sales,Technical Degree,974,Sales Representative,4,2157,No,3
35,No,Sales,Medical,975,Sales Executive,3,4601,No,5
52,No,Research & Development,Life Sciences,976,Manager,4,17099,No,9
58,Yes,Research & Development,Technical Degree,977,Research Scientist,3,2479,No,1
53,No,Sales,Medical,981,Manager,3,14852,No,17
30,No,Sales,Other,982,Sales Executive,3,7264,No,8
38,No,Sales,Technical Degree,983,Sales Executive,4,5666,Yes,5
35,No,Sales,Life Sciences,984,Sales Executive,4,7823,No,10
39,No,Sales,Life Sciences,985,Sales Executive,3,7880,No,8
40,Yes,Sales,Life Sciences,986,Sales Executive,2,13194,Yes,1
47,No,Research & Development,Medical,987,Manufacturing Director,3,5067,Yes,19
36,No,Sales,Technical Degree,990,Sales Executive,4,5079,No,7
31,Yes,Research & Development,Medical,991,Research Scientist,1,2321,Yes,3
33,No,Sales,Life Sciences,992,Manager,3,17444,No,10
29,Yes,Research & Development,Life Sciences,994,Research Scientist,1,2404,Yes,0
33,No,Research & Development,Life Sciences,995,Research Scientist,4,3452,No,3
45,No,Research & Development,Medical,996,Laboratory Technician,4,2270,No,5
50,No,Research & Development,Medical,997,Research Director,4,17399,No,5
33,No,Research & Development,Other,998,Healthcare Representative,2,5488,Yes,6
41,No,Research & Development,Medical,999,Research Director,3,19419,No,18
27,No,Research & Development,Technical Degree,1001,Laboratory Technician,2,2811,No,2
45,No,Research & Development,Life Sciences,1002,Laboratory Technician,1,3633,Yes,9
47,No,Sales,Life Sciences,1003,Sales Executive,4,4163,Yes,9
30,Yes,Research & Development,Life Sciences,1004,Research Scientist,3,2132,Yes,5
50,No,Research & Development,Life Sciences,1005,Manufacturing Director,3,13973,Yes,12
38,No,Research & Development,Medical,1006,Research Scientist,3,2684,No,2
46,No,Research & Development,Medical,1007,Manufacturing Director,3,10845,No,8
24,No,Research & Development,Medical,1009,Manufacturing Director,3,4377,No,4
35,Yes,Research & Development,Other,1010,Laboratory Technician,2,3743,Yes,4
31,No,Research & Development,Life Sciences,1011,Manufacturing Director,1,4148,No,4
18,No,Research & Development,Life Sciences,1012,Research Scientist,4,1051,No,0
54,No,Research & Development,Technical Degree,1013,Manufacturing Director,3,10739,No,10
35,No,Research & Development,Medical,1014,Healthcare Representative,3,10388,Yes,16
30,No,Research & Development,Life Sciences,1015,Research Director,1,11416,Yes,8
20,Yes,Research & Development,Medical,1016,Research Scientist,1,2600,Yes,1
30,Yes,Research & Development,Medical,1017,Laboratory Technician,2,2422,No,3
26,No,Research & Development,Medical,1018,Manufacturing Director,4,5472,No,8
22,No,Research & Development,Life Sciences,1019,Laboratory Technician,1,2451,No,4
48,No,Research & Development,Life Sciences,1022,Healthcare Representative,3,4240,No,2
48,No,Research & Development,Life Sciences,1024,Healthcare Representative,3,10999,No,15
41,No,Research & Development,Medical,1025,Manufacturing Director,3,5003,No,2
39,No,Research & Development,Life Sciences,1026,Manufacturing Director,4,12742,No,21
27,No,Research & Development,Life Sciences,1027,Manufacturing Director,4,4227,No,3
35,No,Research & Development,Other,1028,Laboratory Technician,4,3917,No,3
42,No,Sales,Marketing,1029,Manager,3,18303,No,1
50,No,Research & Development,Life Sciences,1030,Laboratory Technician,4,2380,No,1
59,No,Research & Development,Life Sciences,1032,Manufacturing Director,4,13726,Yes,5
37,Yes,Research & Development,Medical,1033,Healthcare Representative,2,4777,No,1
55,No,Research & Development,Medical,1034,Healthcare Representative,2,6385,Yes,8
41,No,Research & Development,Life Sciences,1035,Research Director,3,19973,No,21
38,No,Sales,Life Sciences,1036,Sales Executive,4,6861,Yes,1
26,Yes,Sales,Medical,1037,Sales Executive,1,4969,No,2
52,Yes,Sales,Marketing,1038,Manager,4,19845,No,32
44,No,Sales,Medical,1039,Sales Executive,4,13320,Yes,12
50,No,Sales,Life Sciences,1040,Sales Executive,3,6347,No,18
36,Yes,Research & Development,Life Sciences,1042,Laboratory Technician,1,2743,No,17
39,No,Research & Development,Medical,1043,Manufacturing Director,1,10880,Yes,21
33,No,Sales,Life Sciences,1044,Sales Representative,4,2342,No,2
45,No,Sales,Life Sciences,1045,Manager,4,17650,No,9
32,No,Research & Development,Medical,1046,Laboratory Technician,3,4025,No,8
34,No,Sales,Marketing,1047,Sales Executive,4,9725,No,15
59,No,Sales,Technical Degree,1048,Manager,4,11904,Yes,6
45,No,Human Resources,Medical,1049,Human Resources,2,2177,No,6
53,No,Sales,Marketing,1050,Sales Executive,2,7525,No,15
36,Yes,Research & Development,Other,1052,Laboratory Technician,3,4834,No,1
26,Yes,Research & Development,Life Sciences,1053,Research Scientist,1,2042,Yes,3
34,No,Sales,Life Sciences,1055,Sales Representative,3,2220,Yes,1
28,No,Sales,Medical,1056,Sales Representative,2,1052,No,1
38,No,Research & Development,Other,1060,Research Scientist,3,2821,No,2
50,No,Research & Development,Medical,1061,Research Director,3,19237,Yes,8
37,No,Research & Development,Other,1062,Healthcare Representative,2,4107,No,4
40,No,Sales,Marketing,1066,Sales Executive,1,8396,No,7
26,No,Research & Development,Medical,1068,Research Scientist,3,2007,No,5
46,No,Research & Development,Medical,1069,Research Director,4,19627,No,2
54,No,Sales,Life Sciences,1070,Sales Executive,3,10686,No,9
56,No,Research & Development,Medical,1071,Research Scientist,3,2942,No,5
36,No,Research & Development,Medical,1073,Manufacturing Director,4,8858,No,14
55,No,Research & Development,Medical,1074,Manager,1,16756,No,9
43,No,Sales,Medical,1076,Sales Executive,4,10798,No,1
20,Yes,Sales,Marketing,1077,Sales Representative,4,2323,Yes,2
21,Yes,Research & Development,Life Sciences,1079,Laboratory Technician,1,1416,No,1
46,No,Research & Development,Life Sciences,1080,Research Scientist,1,4615,Yes,16
51,Yes,Research & Development,Life Sciences,1081,Research Scientist,3,2461,Yes,10
28,Yes,Research & Development,Technical Degree,1082,Healthcare Representative,1,8722,No,10
26,No,Research & Development,Medical,1083,Laboratory Technician,1,3955,No,5
30,No,Research & Development,Other,1084,Manufacturing Director,1,9957,No,6
41,No,Research & Development,Technical Degree,1085,Research Scientist,3,3376,No,10
38,No,Research & Development,Life Sciences,1088,Healthcare Representative,3,8823,No,19
40,No,Research & Development,Technical Degree,1092,Healthcare Representative,4,10322,No,11
27,No,Research & Development,Life Sciences,1094,Laboratory Technician,3,4621,No,3
55,No,Research & Development,Life Sciences,1096,Manufacturing Director,2,10976,No,3
28,No,Research & Development,Other,1097,Research Scientist,3,3660,No,8
44,Yes,Human Resources,Medical,1098,Human Resources,1,10482,No,20
33,No,Research & Development,Life Sciences,1099,Healthcare Representative,4,7119,No,3
35,Yes,Sales,Technical Degree,1100,Sales Executive,1,9582,Yes,8
33,Yes,Research & Development,Medical,1101,Research Scientist,3,4508,No,13
28,No,Research & Development,Life Sciences,1102,Laboratory Technician,3,2207,No,4
34,No,Research & Development,Life Sciences,1103,Healthcare Representative,4,7756,No,6
37,No,Sales,Life Sciences,1105,Sales Executive,4,6694,Yes,1
25,Yes,Research & Development,Technical Degree,1106,Laboratory Technician,4,3691,Yes,7
26,Yes,Research & Development,Medical,1107,Laboratory Technician,3,2377,No,1
33,Yes,Research & Development,Medical,1108,Research Scientist,2,2313,Yes,2
42,No,Research & Development,Medical,1109,Manager,1,17665,No,22
28,Yes,Research & Development,Medical,1111,Laboratory Technician,2,2596,No,1
50,Yes,Sales,Other,1113,Sales Executive,3,4728,Yes,0
33,No,Sales,Life Sciences,1114,Sales Executive,2,4302,No,3
34,No,Research & Development,Life Sciences,1115,Research Scientist,4,2979,No,0
48,No,Research & Development,Medical,1116,Manager,4,16885,No,5
45,No,Sales,Life Sciences,1117,Sales Executive,3,5593,No,15
52,No,Research & Development,Life Sciences,1118,Healthcare Representative,2,10445,No,8
38,No,Sales,Marketing,1119,Sales Executive,3,8740,Yes,8
29,No,Research & Development,Life Sciences,1120,Research Scientist,4,2514,No,7
